Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
CDP 1016,Ed O.G & Da Bulldogs,Skinny Dip (Got It Goin' On),Chemistry Records (2),"CD, Single, Promo",4,1993,2910620,RAP,2012-07-08 15:54:45,
CDP 839,Diamond D And The Psychotic Neurotics,Sally Got A One Track Mind,Chemistry Records (2),"CD, Single, Promo",5,1993,1288208,RAP,2012-07-07 03:31:39,
314 518 161-2,Ed O.G & Da Bulldogs,Roxbury 02119,"Chemistry Records (2), Mercury","CD, Album",5,1993,513079,RAP,2012-07-05 04:09:26,
WCDMRED 663,Kissing The Pink,Naked,Cherry Red,"CD, Album, Comp, RM",5,2015,7709366,NO RAP,2016-02-15 06:34:54,
CTGD 8480,Common,Cool Common Collected (A Fine Collection Of Remixes & Rarities),Chi Town Gettin' Down Inc.,"CD, Comp, Unofficial",5,2006,1745558,RAP,2009-08-20 00:00:00,
PCCY-00320,The Art Of Noise,Below The Waste,China Records,"CD, Album, RE",4,1992,6671975,NO RAP,2015-12-30 04:24:33,
WOKCD 2081,Morcheeba,Trigger Hippie,China Records,"CD, Single",4,1995,766201,NO RAP,2013-03-09 04:36:32,
PR04290,Morcheeba,Can't Stand It,"China Records, WEA","CD, Single, Promo",5,2003,1900891,NO RAP,2009-08-24 13:46:29,
CD5H1T0FF01,Pro Celebrity Golf and Jay Glaze,Three Sinister Syllables,Chopped Herring Records,"CD, Album",5,2004,682592,Uncategorized,2016-04-28 11:04:46,
CD5H1T0FF02,Da Henchmen,Ill Cyde Vaults,Chopped Herring Records,"CD, Comp",5,2016,8029026,RAP,2016-06-09 02:26:01,
CD5H1T0FF03,Dysfunkshunal Familee,The Wonder Years,Chopped Herring Records,"CD, Comp",5,2016,8296973,RAP,2016-07-20 23:53:29,
CD5H1T0FF04,Finsta Bundy,Bushwick To Shin-Juku,Chopped Herring Records,"CD, Album",5,2016,8421042,RAP,2016-07-20 23:53:25,
CD5H1T0FF05,Tha Grimm Teachaz,There's A Situation On The Homefront,Chopped Herring Records,"CD, Album, RE",5,2016,8722804,RAP,2016-07-14 07:30:11,
CDZ5H1T0FF06,Rahsheed & Ill-Advised,Born To Use Mics,Chopped Herring Records,"CD, Album",5,2016,8722489,RAP,2017-05-24 00:12:20,
CDZ5H1T0FF07,Da Hoodz Uv Mizbhavya,Identity Crisis,Chopped Herring Records,"CD, Album, Comp",5,2016,8844796,RAP,2017-05-24 00:12:14,
ZCD5H1T0FF08,North Bronx Alliance,Beyond The Madness,Chopped Herring Records,"CD, Album, Comp",4,2016,8957330,RAP,2017-05-24 00:12:29,
ZCD5H1T0FF10,Daddy-O Presents Junior M.A.F.I.A. And Freestyle Fellowship,Unreleased EP,Chopped Herring Records,"CD, EP, Ltd, Sta",4,2016,9321828,RAP,2017-05-24 00:12:59,
ZCD5H1T0FF12,Shadez Of Brooklyn,Pandemonium,Chopped Herring Records,"CD, Album, Comp",5,2016,9426959,RAP,2017-06-27 04:40:03,
ZCD5H1T0FF15,Speakeasy (21),Jive Turkeys & Cat Daddies,Chopped Herring Records,"CD, Album, RE",4,2017,9730499,RAP,2017-06-27 04:41:10,
ZCD5H1T0FF16,Big Tabb,Who's Wreckin' Da Mic LP,Chopped Herring Records,"CD, Album",5,2017,10023557,RAP,2017-06-27 04:39:43,
ZCD5H1T0FF17,Beneficence,Contents Under Pressure EP,Chopped Herring Records,"CD, EP, RE",5,2017,10023698,RAP,2017-06-29 00:14:20,
ZCD5H1T0FF19,Doz Funky Baztardz,Get Down To My Dungeon,Chopped Herring Records,"CD, Comp",5,2017,10153709,RAP,2017-06-29 00:13:12,
ZCD5H1T0FF20,Q Ball & Curt Cazal,My Kinda Moves,Chopped Herring Records,"CD, Comp",4,2017,10153763,RAP,2017-06-27 04:40:42,
CHR027P,DJ Cam,Honeymoon By Cam,Chronowax,"CD, Comp, Mixed, Promo, Car",3,2001,1331750,NO RAP,2011-07-08 07:08:29,
7243 8 82814 2 3,Bahamadia,Uknowhowwedu,Chrysalis,"CD, Single",5,1995,1079808,RAP,2009-08-20 00:00:00,
8832402,Bahamadia,I Confess,Chrysalis,"CD, Maxi",5,1996,1379814,RAP,2009-08-20 00:00:00,
DPRO-04685,Gang Starr,Gotta Get Over (Taking Loot),Chrysalis,"CD, Single, Promo",5,1992,1284221,RAP,2012-11-07 05:12:29,
F2-19762,Gang Starr,Ex Girl To Next Girl,Chrysalis,"CD, Maxi",5,1992,1279603,RAP,2009-08-20 00:00:00,
TOCP 7836,Guru,Jazzmatazz Volume: 1,Chrysalis,"CD, Album",5,1993,3301209,RAP,2013-04-24 02:58:38,
TOCP-65799,Starsailor,Love Is Here,Chrysalis,"CD, Album",5,2001,4111269,NO RAP,2017-02-22 04:15:12,
TOCP-6805,Gang Starr,Step In The Arena,Chrysalis,"CD, Album",5,1991,4061172,RAP,2013-04-26 04:18:29,
TOCP-8194,Gang Starr,Hard To Earn,Chrysalis,CD,5,1994,1641168,RAP,2013-12-28 14:47:34,
VK 41570,The Art Of Noise,In No Sense? Nonsense!,"Chrysalis, China Records","CD, Album, Club",5,1987,3175946,NO RAP,2013-09-26 13:43:32,
"7243 8 58111 2 8, F2-58111",Gang Starr,Mass Appeal,"Chrysalis, Chrysalis","CD, Maxi",5,1994,2067941,RAP,2012-06-11 07:23:17,
"F2 58437, 7243-8-58437-2-3",Bahamadia,I Confess,"Chrysalis, Chrysalis","CD, Maxi",5,1996,801533,RAP,2009-08-20 00:00:00,
"F2-35484, 7243 8 35484 2 2",Bahamadia,Kollage,"Chrysalis, Chrysalis","CD, Album",5,1996,138826,RAP,2012-02-25 08:24:09,
"F2-58243, 7243 858243 2 6",Bahamadia,Total Wreck,"Chrysalis, Chrysalis","CD, Maxi",5,1994,1379822,RAP,2009-08-20 00:00:00,
7243 8 38249 2 2,Bahamadia,Kollage,"Chrysalis, EMI","CD, Album",5,1996,1078932,RAP,2009-08-20 00:00:00,
7243 8 81755 2 4,Lords Of The Underground,Tic Toc,"Chrysalis, EMI","CD, Maxi",5,1994,1512444,RAP,2009-11-19 12:28:56,
"7243 8 81491 2 9, cdcool 294",Lords Of The Underground,Flow On,"Chrysalis, Pendulum Records","CD, Single",5,1994,859723,RAP,2014-01-29 11:50:37,
"MASBOX 1, 7243 8 95443 2 9",Massive Attack,Singles 90/98,"Circa, Virgin","Box, Comp, Ltd + 11xCD, Single",5,1998,57000,NO RAP,2013-02-20 03:01:46,
"YRCD 1021, 662 105, yrcd 1021, 662-105",Neneh Cherry,Buffalo Stance (Remixes),"Circa, Virgin, Circa, Virgin","CD, Single",4,1989,171114,NO RAP,2017-03-24 05:30:06,
CB 9 60807-2,Super Lover Cee & Casanova Rud,Girls I Got 'Em Locked,"Citi Beat Records Inc., DNA International Records","CD, Album, RE",5,0,1637364,RAP,2013-07-20 17:47:56,
04991-2,Techno Animal,Techno Animal Versus Reality,City Slang,"CD, Album",5,1998,69557,NO RAP,2011-02-07 10:37:18,
SLANG1047982,Caribou,Andorra,City Slang,"CD, Album",5,2007,1100109,NO RAP,2014-11-13 00:49:34,
"efa 04990-2, EFA 04990-2",To Rococo Rot,Veiculo,"City Slang, City Slang","CD, Album",5,1997,77669,NO RAP,2013-01-05 04:28:04,
"CMP 615, GTR 120",Czesław Niemen,Mourner's Rhapsody,"Citystudio Media Production, Green Tree Records","CD, Album, RE, RM, Unofficial",5,2003,2891203,NO RAP,2013-04-20 12:31:13,
"CMP 613, GTR 119",Czesław Niemen,Strange Is This World,"Citystudio Media Production, New Music - Green Tree","CD, Album, RE, RM",5,2003,2827277,NO RAP,2015-12-13 07:37:43,
CL1033,Souls Of Mischief,Montezuma's Revenge,Clear Label Records,"2xCD, Album",5,2009,2058532,RAP,2016-08-29 13:19:16,
CLP 9665-2,Psychic TV,Trip Reset,Cleopatra,"CD, Album",5,1996,61976,NO RAP,2012-01-24 02:16:47,
C#25,Drexciya,Grava 4,Clone,"CD, Album",5,2002,62881,NO RAP,2013-07-10 10:05:36,
C#31-cd,Lab Rat XL,Mice Or Cyborg,Clone,"CD, Album",5,2003,219076,NO RAP,2014-12-02 14:28:51,
C#CC022CD,Drexciya,Journey Of The Deep Sea Dweller I,Clone Classic Cuts,"CD, Comp, RM",5,2011,3269701,NO RAP,2016-03-23 11:45:03,
C#CC023CD,Drexciya,Journey Of The Deep Sea Dweller II,Clone Classic Cuts,"CD, Comp, RM",5,2012,3639249,NO RAP,2016-03-23 11:45:08,
C#CC025CD,Drexciya,Journey Of The Deep Sea Dweller IV,Clone Classic Cuts,"CD, Comp, RM",5,2013,5168935,NO RAP,2016-03-23 11:45:12,
CLR5221,The 45 King,Beats Don't Fail Me Now,CLR,"CD, Single",5,1997,2315257,RAP,2010-06-12 08:51:42,
CMAR01,"Craig Armstrong, Scott J. Fraser",Rosa Morta,CMA Records (2),"CD, Album",5,2016,9154933,NO RAP,2016-10-17 01:31:46,
"CMP 614, GTR 118",Czesław Niemen,Ode To Venus,"CMP, Green Tree Records","CD, Album, RM, RE",5,2003,2891202,NO RAP,2015-12-13 07:38:02,
22 999362,Black Moon,Total Eclipse,CNR Records International,"CD, Album",4,2003,811243,RAP,2012-07-07 15:46:13,
CSC 006,Biochemical Dread,Bush Doctrine,"Cocosolidciti, Intone, Alphaphone Recordings","CD, Album, P/Mixed",5,2003,195433,NO RAP,2009-10-17 03:15:22,
697 124 013-2,MC Solaar,Prose Combat,Cohiba Records,"CD, Album",5,1994,140871,RAP,2013-10-17 23:51:24,
754647500125,Kool G Rap & D.J. Polo,Live And Let Die,Cold Chillin',"CD, Album, Lon",5,1992,6865439,RAP,2016-02-06 04:52:07,
9 25731-2,Big Daddy Kane,Long Live The Kane,Cold Chillin',"CD, Album",5,1988,326883,RAP,2012-05-19 06:53:28,
9 25783-2,Marley Marl,In Control Volume 1,Cold Chillin',"CD, Album",5,1988,1441010,RAP,2016-09-24 05:20:24,
9 25797-2,MC Shan,Born To Be Wild,Cold Chillin',"CD, Album",5,1988,1135829,RAP,2012-06-28 10:25:27,
9 26165-2,Kool G Rap & D.J. Polo,Wanted: Dead Or Alive,Cold Chillin',"CD, Album",5,1990,1050333,RAP,2013-01-17 05:17:13,
9 26303-2,Big Daddy Kane,Taste Of Chocolate,Cold Chillin',"CD, Album",5,1990,256272,RAP,2013-07-20 17:49:08,
9 26474-2,Kid Capri,The Tape,Cold Chillin',"CD, Album, RP",5,0,11036736,RAP,2017-10-22 07:04:01,
9 26525-2,Diamond Shell,The Grand Imperial Diamond Shell,Cold Chillin',"CD, Album",,1991,842472,RAP,2016-04-16 09:16:05,
9 40149-2,Big Daddy Kane,Raw '91,Cold Chillin',"CD, Maxi",,1990,1282264,RAP,2017-10-15 03:45:21,
9 40167-2,Marley Marl,"The Symphony, Pt. II",Cold Chillin',"CD, Single, Dig",5,1991,1282227,RAP,2009-10-21 08:23:19,
CCCD 2000-2,Kool G Rap & D.J. Polo,Ill Street Blues,Cold Chillin',"CD, Single",,1992,1321997,RAP,2017-06-27 07:04:31,NY
CCCD 2010-2,Kool G Rap & D.J. Polo,On The Run,Cold Chillin',CD,5,1992,1321995,RAP,2017-05-31 06:06:10,
CCCD 5005,The Genius,Words From The Genius,Cold Chillin',"CD, Album, RE",4,1994,356467,RAP,2016-10-21 03:29:23,
PRO-CD-4477,The Genius,Come Do Me,Cold Chillin',"CD, Single, Promo",4,1991,1280415,RAP,2016-02-13 04:39:55,
PRO-CD-4612,Kid Capri,Apollo,Cold Chillin',"CD, Single, Promo",5,1991,1275067,RAP,2015-08-16 07:55:09,
"9362-40108-2, W0043CD",Big Daddy Kane,Keep 'Em On The Floor,"Cold Chillin', Cold Chillin'","CD, Single",5,1991,1268411,RAP,2013-06-13 03:04:27,
9 25941-2,Big Daddy Kane,It's A Big Daddy Thing,"Cold Chillin', Reprise Records","CD, Album",4,1989,319556,RAP,2013-06-25 00:52:55,
9 26179-2,Masta Ace,Take A Look Around,"Cold Chillin', Reprise Records","CD, Album",5,1990,163869,RAP,2010-05-18 05:54:39,
9 45128-2,Big Daddy Kane,Looks Like A Job For...,"Cold Chillin', Reprise Records","CD, Album",4,1993,255530,RAP,2012-05-19 06:53:11,
PRO-CD-6116,Big Daddy Kane,How U Get A Record Deal,"Cold Chillin', Reprise Records","CD, Single, Promo",5,1993,1691825,RAP,2015-03-27 17:21:18,
KAMECD-3,K-Solo,Tell The World My Name,Cold Slammin',"CD, Album, RE",5,2006,4572195,RAP,2015-11-20 06:15:30,
KAMECD-4,K-Solo,Times Up,Cold Slammin',"CD, Album, RE",5,2006,4572203,RAP,2015-11-20 06:15:25,
"KAMECD-2, WQCP-420",Lord Finesse,The Awakening,"Cold Slammin', WEA Japan","CD, Album, RE",5,2006,4918431,RAP,2016-04-28 06:19:16,
"KAMECD-5, WQCP-418",KMD,Mr. Hood,"Cold Slammin', WEA Japan","CD, Album, RE",5,2006,8497055,RAP,2016-09-21 07:59:08,
csr193cd,Coil / Nine Inch Nails,Recoiled,Cold Spring,"CD, Comp, RM",5,2014,5349359,NO RAP,2014-04-07 16:50:00,
"TOGA 001CD2, 0630 139622",D.O.S.E. Featuring Mark E. Smith,Plug Myself In (The St Luke Mixes),"Coliseum Recordings, PWL International","CD, Single, CD2",4,1996,20734,NO RAP,2011-08-01 02:41:49,
COL-CD-7920,Fred Wesley & The Horny Horns Featuring Maceo Parker,"A Blow For Me, A Toot To You",Collectables,"CD, Album, RE",5,2008,2388145,NO RAP,2011-01-25 08:41:46,
44K 74254,Public Enemy,Nighttrain,Columbia,"CD, Maxi",5,1992,460964,RAP,2009-08-20 00:00:00,
44K 77673,Nas,One Love,Columbia,"CD, Maxi",5,1994,1718421,RAP,2011-05-26 22:38:27,
44K 77728,Big L,Put It On,Columbia,"CD, Maxi",5,1995,2214395,RAP,2012-10-26 13:30:53,
44K 77894,Big L,MVP,Columbia,"CD, Maxi",5,1995,2214423,RAP,2017-07-31 06:11:39,
44K 78223,Cypress Hill,Illusions,Columbia,"CD, Maxi",5,1996,819301,RAP,2010-04-11 08:04:23,
44K 78408,Nas,Street Dreams / Affirmative Action (Remix),Columbia,"CD, Maxi",4,1996,1856429,RAP,2009-10-15 16:59:42,
44K 79113,Nas,Nas Is Like / Dr. Knockboots,Columbia,"CD, Maxi",5,1999,2087610,RAP,2010-04-11 03:30:40,
469082 2,Various,The Rhythm Is Final,Columbia,"CD, Comp",5,1992,344716,RAP,2012-06-16 02:28:45,
471137 2,Julio Iglesias,De Niña A Mujer,Columbia,"CD, Album",5,0,5400940,NO RAP,2014-02-15 01:12:17,
656664 2,Ten Sharp,You,Columbia,"CD, Maxi",5,1991,4520944,NO RAP,2015-01-30 07:56:45,
663402 2,Nas,If I Ruled The World,Columbia,"CD, Single",5,1996,916252,RAP,2010-04-11 03:36:46,
665560 2,Will Smith,Gettin' Jiggy Wit It,Columbia,"CD, Single, CD1",4,1998,532232,RAP,2012-08-12 08:24:38,
673479 2,"Nas, Nasir Jones",Made You Look / One Mic,Columbia,"CD, Single, Enh",5,2002,1354899,RAP,2010-04-11 03:32:07,
88691 97606 2,John Mayer,Born And Raised,Columbia,"CD, Album",4,2012,3657626,NO RAP,2012-08-12 05:42:21,
C2K 44484,Pink Floyd,Delicate Sound Of Thunder,Columbia,"2xCD, Album",5,1988,531617,NO RAP,2013-04-20 11:24:37,
CK 37199,Bill Withers,Bill Withers' Greatest Hits,Columbia,"CD, Comp, RE",5,0,1639622,NO RAP,2013-07-20 17:20:04,
CK 40867,George Michael,Faith,Columbia,"CD, Album, Club",5,1987,3137488,NO RAP,2013-07-20 17:19:55,
CK 53223,Kurious,A Constipated Monkey,Columbia,"CD, Album",5,1994,591025,RAP,2012-07-03 23:21:50,
CK 53795,Big L,Lifestylez Ov Da Poor & Dangerous,Columbia,"CD, Album",5,1995,362619,RAP,2009-08-20 00:00:00,
COL 484195 2,Buckshot LeFonque,Music Evolution,Columbia,"CD, Album",4,1997,314536,NO RAP,2012-11-19 15:42:20,
COL 486572 2,Herbie Hancock,Magic Windows,Columbia,"CD, Album, RE",5,1997,1520631,NO RAP,2015-03-31 03:02:02,
COL 493349/2,Franek Kimono,Franek Kimono,Columbia,"2xCD, Comp",5,1999,3228449,NO RAP,2017-04-07 04:17:16,
COL 5174529,Arielle Dombasle,Amor Amor,Columbia,"2xCD, Album, RE, Dig",5,2005,6337394,NO RAP,2014-11-23 13:49:39,
COL 663119 2,Infinite Mass,Ride,Columbia,"CD, Maxi",4,1996,2989097,RAP,2012-08-04 11:58:08,
COL 664143 2,Buckshot Lefonque,Music Evolution,Columbia,"CD, Single",5,1997,1855206,RAP,2013-01-26 07:50:12,
COL 672804 2,Awa Manneh,Behind Schedule (Can I Get A Witness),Columbia,"CD, Maxi",5,2002,1655670,NO RAP,2012-11-04 13:17:28,
CSK 4046,Downtown Science,Room To Breathe,Columbia,"CD, Single, Promo",5,1991,1306493,RAP,2016-03-30 04:29:23,
CSK 41158,Kid Capri Featuring Snoop Dogg And Slick Rick,Unify / We're Unified,Columbia,"CD, Single, Promo",5,1998,4299652,RAP,2013-02-17 06:22:13,
CSK 6430,Super Cat (2),Scalp Dem / South Central,Columbia,"CD, Single, Promo",5,1994,2208125,RAP,2010-03-29 12:55:44,
CSK 73686,Downtown Science,Radioactive,Columbia,"CD, Single, Promo",4,1991,1307406,RAP,2013-09-29 10:29:45,
CSK 73759,Terminator X,Homey Don't Play Dat,Columbia,"CD, Single, Promo",5,1991,1308271,RAP,2010-03-03 08:10:25,
CSK 9649,DJ Muggs Presents The Soul Assassins Featuring Dr. Dre And B-Real,Puppet Master,Columbia,"CD, Single, Promo",5,1997,1293877,RAP,2010-01-25 14:28:11,
OSK 5325,Boss (3),Progress Of Elimination,Columbia,"CD, Single, Promo",5,1993,1731655,RAP,2012-07-10 10:03:45,
XPCD 620,Mad Season,Above,Columbia,"CD, Smplr, Promo",5,1995,1280877,NO RAP,2017-08-29 10:52:14,
"484196 2, col 484196 2",Nas,It Was Written,"Columbia, Columbia","CD, Album",5,1996,349148,RAP,2010-04-11 03:43:27,
"662461 2, COL 662461 2",Mariah Carey,Fantasy,"Columbia, Columbia","CD, Maxi",5,1995,674775,NO RAP,2012-11-04 13:42:20,
"664781 2, COL 664781 2",Mariah Carey,Honey,"Columbia, Columbia","CD, Maxi",5,1997,652774,NO RAP,2012-11-04 13:44:23,
"665521 2, COL 665521 2",Mariah Carey,The Roof (Back In Time),"Columbia, Columbia","CD, Maxi",5,1998,675544,NO RAP,2012-11-04 13:43:32,
"CK 68518, 68518",Pink Floyd,A Momentary Lapse Of Reason,"Columbia, Columbia","CD, Album, RE, RM",5,1997,525922,NO RAP,2013-07-20 17:19:44,
"COL 469369 2, 01-469369-10",Tim Dog,Penicillin On Wax,"Columbia, Columbia","CD, Album, 1st",5,1991,412334,RAP,2016-05-08 16:33:54,
"COL 474075 2, 474075 2",Cypress Hill,Black Sunday,"Columbia, Columbia","CD, Album, RE",5,0,72252,RAP,2010-04-11 08:08:45,
"COL 658332 2, 658332 2",Die Fantastischen Vier,Die Da !?!,"Columbia, Columbia","CD, Maxi",5,1992,180508,RAP,2012-08-04 13:54:09,
"COL 660302 2, 660302 2",Nas,It Ain't Hard To Tell,"Columbia, Columbia","CD, Maxi",5,1994,1139495,RAP,2010-04-11 03:44:10,
"COL 661047 2, 661047 2",Ini Kamoze,Here Comes The Hotstepper,"Columbia, Columbia","CD, Maxi",4,1994,208376,NO RAP,2012-08-04 13:27:50,
"COL 662378 2, 662378 2",Die Fantastischen Vier,Sie Ist Weg,"Columbia, Columbia","CD, Maxi",5,1995,203590,RAP,2012-08-04 13:51:20,
"COL 666488 2, 666488 2",Will Smith,Miami,"Columbia, Columbia","CD, Maxi",4,1998,411868,RAP,2012-08-12 08:51:29,
"COL 673957 2, 673957 2",Beyoncé,Crazy In Love,"Columbia, Columbia","CD, Maxi, Enh",5,2003,507005,NO RAP,2012-11-04 11:54:00,
"SAMPCS12068, 0120681000",Will Smith,1000 Kisses,"Columbia, Columbia","CD, Single, Promo",5,2002,541687,RAP,2012-08-12 09:04:59,
"476532 9, 01-476532-11, COL 476532 9",Buckshot LeFonque,Buckshot LeFonque,"Columbia, Columbia, Columbia","2xCD, Album, Ltd",4,1995,1306129,NO RAP,2013-04-27 07:28:13,
"COL 672274 2, 672274 2, 6722742000","Royce Da 5'9"" Featuring Eminem",Rock City,"Columbia, Columbia, Game Recordings, Columbia, Game Recordings","CD, Maxi",4,2002,1106473,RAP,2012-07-10 13:01:56,
"511128 2, 5111282000",Santana,Caravanserai,"Columbia, Columbia, Legacy, Legacy","CD, Album, RE, RM",5,2003,1866360,NO RAP,2016-05-08 15:18:30,
"485230 2, COL 485230 2",Cypress Hill,Unreleased & Revamped (EP),"Columbia, Columbia, Ruffhouse Records, Ruffhouse Records","CD, EP",4,1996,305941,RAP,2010-04-11 07:41:53,
473042 2,Public Enemy,Twelve Inch Mixes,"Columbia, Def Jam Recordings","CD, Comp",3,1993,1369315,RAP,2010-02-01 10:51:09,
657592 2,LL Cool J,Whose Afraid Of The Big Bad Wolf?,"Columbia, Def Jam Recordings","CD, Maxi",5,1991,725154,RAP,2009-08-20 00:00:00,
CSK 4835,Kurious,Walk Like A Duck,"Columbia, Hoppoh Recordings","CD, Single, Promo",5,1992,1273095,RAP,2012-11-07 05:22:16,
CSK 6071,Kurious,I'm Kurious,"Columbia, Hoppoh Recordings","CD, Single, Promo",,1994,726053,RAP,2017-11-16 04:27:15,NY
CK 64935,Miles Davis,Kind Of Blue,"Columbia, Legacy","CD, Album, RE, RM",5,1997,368061,NO RAP,2011-02-07 10:02:16,
88697439542,Nas,Illmatic XX,"Columbia, Legacy, Sony Music","CD, Album, RE + CD, Comp + RM, Dig",5,2014,5593838,RAP,2014-04-27 09:47:17,
88765475372,Depeche Mode,Heaven,"Columbia, Mute","CD, Maxi",5,2013,4246645,NO RAP,2013-03-30 08:30:12,
88883758332,Depeche Mode,Should Be Higher ,"Columbia, Mute","CD, Maxi",5,2013,4976961,NO RAP,2013-11-30 08:02:29,
88985420022,Depeche Mode,Where's The Revolution [Remixes],"Columbia, Mute","CD, Single",5,2017,9902627,NO RAP,2017-04-10 08:34:40,
88985477452,Depeche Mode,Going Backwards [Remixes],"Columbia, Mute","CD, Single",4,2017,10784421,NO RAP,2017-11-15 10:21:12,
CSK 73894,Terminator X,Juvenile Delinquintz,"Columbia, P.R.O. Division, Rush Associated Labels","CD, Single, Promo",5,1991,1308278,RAP,2010-04-02 02:26:04,
660319 2,Cypress Hill,Lick A Shot,"Columbia, Ruffhouse Records","CD, Single",5,1994,587978,RAP,2010-04-11 08:07:27,
662905 5,Cypress Hill,Illusions,"Columbia, Ruffhouse Records","CD, Maxi, CD2",5,1995,257713,RAP,2010-04-11 08:06:16,
CK 47119,Larry Larr,Da Wizzard Of Odds,"Columbia, Ruffhouse Records","CD, Album",5,1991,1265351,RAP,2017-10-22 06:48:53,
"COL 662781 2, 662781 2",Fugees,Fu-Gee-La,"Columbia, Ruffhouse Records","CD, Maxi",5,1995,226217,RAP,2012-07-10 11:40:09,
COL 663167 2,Cypress Hill,Boom Biddy Bye Bye,"Columbia, Ruffhouse Records","CD, Maxi",5,1996,2227212,RAP,2010-04-11 08:00:09,
COL 666325 2,Cypress Hill,Tequila Sunrise,"Columbia, Ruffhouse Records","CD, Maxi",4,1998,1168439,RAP,2010-04-11 07:40:55,
88883 75648 2,John Mayer,Paradise Valley,"Columbia, Sony Music","CD, Album",4,2013,4822422,NO RAP,2013-09-22 06:50:14,
COMA CD 4,The KLF,The White Room,COMA Records (4),"CD, Album",5,1991,3831353,NO RAP,2014-10-29 14:29:43,
AICP 262,Kyoto Jazz Massive,Spirit Of The Sun,Compost Records,"CD, Album",5,2002,133578,NO RAP,2016-10-03 10:00:30,
COMPOST 049-2,A Forest Mighty Black,Mellowdramatic (Remixed),Compost Records,"CD, Comp",4,1999,3245,NO RAP,2011-04-01 04:44:16,
COMPOST 062-2,Beanfield,Human Patterns,Compost Records,"CD, Album",5,1999,14774,NO RAP,2009-12-21 13:59:55,
COMPOST 070-2,Syrup,Different Flavours,Compost Records,"CD, Album",5,2000,10820,NO RAP,2015-10-24 05:01:23,
compost 074·2,Les Gammas,Exercices De Styles,Compost Records,"CD, Album",5,2000,24437,NO RAP,2011-04-01 04:44:46,
COMPOST 248-2,Marsmobil,Une Affaire De Mode Et De Musique,Compost Records,"CD, Album, Ltd",4,2007,996080,NO RAP,2016-01-15 05:15:36,
COMPOST 221-2,Marsmobil,Minx,"Compost Records, G-Stone Recordings","CD, Album",5,2006,2394521,NO RAP,2013-05-27 03:11:30,
CMR001,Concrete Mob,Concrete Mob,Concrete Mob Enterprises,"CD, EP, MP, Promo",4,2001,9189469,RAP,2017-01-03 05:00:48,
CTI 94002,CTI,"Chronomanic - The Library Of Sound, Edition 2",Conspiracy International,"CD, Album",5,1994,620594,NO RAP,2012-06-19 02:58:56,
CTI 98004,CTI,"Point Seven - The Library Of Sound, Edition 4",Conspiracy International,"CD, Album",5,1998,307732,NO RAP,2012-06-19 02:59:23,
CTI CD 6,Chris & Cosey,Songs Of Love & Lust,Conspiracy International,"CD, Album, RE",5,0,4232964,NO RAP,2013-06-14 03:31:28,
CTI93 001,CTI,"Metaphysical - The Library Of Sound, Edition 1",Conspiracy International,"CD, Album",5,1993,307716,NO RAP,2012-06-19 02:58:45,
CTI95003,CTI,"In Continuum - The Library Of Sound, Edition 3",Conspiracy International,"CD, Album",5,1995,371015,NO RAP,2012-06-19 02:59:05,
19305-2,Raw Breed,Lune Tunz,Continuum Records,"CD, Album, FLP",5,1993,3085766,RAP,2014-05-07 09:23:01,
12305-2,Raw Breed,Rabbit Stew,"Continuum Records, Nuff Nuff Music","CD, Promo",5,1993,2990263,RAP,2011-08-09 02:01:01,
BRC-381,The Orb Featuring Lee Perry,More Tales From The Orbservatory,Cooking Vinyl,"CD, Album",4,2013,4685682,NO RAP,2015-12-30 04:24:45,
FRYCD 093,Luke Vibert & BJ Cole,Spring Collection,Cooking Vinyl,"CD, Single",5,2000,24590,NO RAP,2009-08-20 00:00:00,
COOK CD 193,Luke Vibert / BJ Cole,Stop The Panic,"Cooking Vinyl, Law & Auder","CD, Album",5,2000,25072,NO RAP,2009-08-20 00:00:00,
1C 560-3 23588 2,Monie Love Featuring True Image,It's A Shame (My Sister),Cooltempo,"CD, Single",5,1990,806256,RAP,2012-11-04 13:21:15,
3 23886 2,Gang Starr,2 Deep,Cooltempo,"CD, Single",5,1992,1505329,RAP,2009-12-07 12:35:58,
CDCOOL 301,Earthling,1st Transmission,Cooltempo,"CD, Maxi",4,1994,56678,NO RAP,2011-09-08 03:30:00,
CDCOOL 314,Speech,Like Marvin Gaye Said (What's Going On),Cooltempo,"CD, Single",5,1996,1491775,RAP,2013-01-26 07:29:26,
cdgangdj 001,Gang Starr,Royalty,Cooltempo,"CD, Single, Promo",5,1997,2302160,RAP,2012-06-11 07:24:29,
"CCD 1798, CDP 3217982",Gang Starr,Step In The Arena,"Cooltempo, Chrysalis","CD, Album, RP",5,0,218328,RAP,2012-04-07 02:15:56,
"CDCOOL 299, 7243 8 81753 2 6",Gang Starr,Code To The Street EP,"Cooltempo, Chrysalis","CD, EP",5,1994,1041025,RAP,2012-01-26 02:05:51,
"7243 8 33382 2 1, ctcd44",Earthling,Radar,"Cooltempo, Cooltempo","CD, Album",4,1995,103663,NO RAP,2015-08-16 14:13:08,
"cdcool305, 7243 8 82109 2 8",Earthling,Nefisa,"Cooltempo, Cooltempo","CD, Single",4,1995,53955,NO RAP,2015-07-06 05:12:03,
